FROM_CODE,FROM_DISPLAY_NM,TO_UNIQUE_ID,TO_SUBJECT_AREA,TO_CODE,TO_DISPLAY_NM,CODE_TRANSLATION_REQUIRED,NBS_CODE_SYSTEM_CD,NBS_CODE_SYSTEM_DESC_TXT,FROM_CODE_SYSTEM_CD,FROM_CODE_SYSTEM_DESC_TXT
0,REFUSED,DEM155,PATIENT,0,REFUSED,Yes,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
AL,AL,DEM162,PATIENT,01,Alabama,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AL,AL,ORD113,ORGANIZATION,01,Alabama,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AL,AL,NPP021,PROVIDER,01,Alabama,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AL,AL,PLA230,PLACE,01,Alabama,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AK,AK,DEM162,PATIENT,02,Alaska,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AK,AK,ORD113,ORGANIZATION,02,Alaska,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AK,AK,NPP021,PROVIDER,02,Alaska,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AK,AK,PLA230,PLACE,02,Alaska,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
030,HepB acute w/o delta,NBS136,CASE,030,HepB acute w/o delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
030,HepB acute w/o delta,NBS166,CASE,030,HepB acute w/o delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
030,HepB acute w/o delta,NBS150,CASE,030,HepB acute w/o delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
031,HepB acute w/ delta,NBS136,CASE,031,HepB acute w/ delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
031,HepB acute w/ delta,NBS166,CASE,031,HepB acute w/ delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
031,HepB acute w/ delta,NBS150,CASE,031,HepB acute w/ delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
033,HepB chronic w/o delta,NBS136,CASE,033,HepB chronic w/o delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
033,HepB chronic w/o delta,NBS166,CASE,033,HepB chronic w/o delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
033,HepB chronic w/o delta,NBS150,CASE,033,HepB chronic w/o delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
034,HepB chronic w/ delta,NBS136,CASE,034,HepB chronic w/ delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
034,HepB chronic w/ delta,NBS166,CASE,034,HepB chronic w/ delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
034,HepB chronic w/ delta,NBS150,CASE,034,HepB chronic w/ delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
AZ,AZ,DEM162,PATIENT,04,Arizona,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AZ,AZ,ORD113,ORGANIZATION,04,Arizona,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AZ,AZ,NPP021,PROVIDER,04,Arizona,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AZ,AZ,PLA230,PLACE,04,Arizona,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
042,Hepatitis delta,NBS136,CASE,042,Hepatitis delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
042,Hepatitis delta,NBS166,CASE,042,Hepatitis delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
042,Hepatitis delta,NBS150,CASE,042,Hepatitis delta,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
AR,AR,DEM162,PATIENT,05,Arkansas,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AR,AR,ORD113,ORGANIZATION,05,Arkansas,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AR,AR,NPP021,PROVIDER,05,Arkansas,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
AR,AR,PLA230,PLACE,05,Arkansas,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
051,"Hepatitis C, acute",NBS136,CASE,051,"Hepatitis C, acute",YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
051,"Hepatitis C, acute",NBS166,CASE,051,"Hepatitis C, acute",YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
051,"Hepatitis C, acute",NBS150,CASE,051,"Hepatitis C, acute",YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
053,Hepatitis E,NBS136,CASE,053,Hepatitis E,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
053,Hepatitis E,NBS166,CASE,053,Hepatitis E,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
053,Hepatitis E,NBS150,CASE,053,Hepatitis E,YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
054,"Hepatitis C, chronic",NBS136,CASE,054,"Hepatitis C, chronic",YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
054,"Hepatitis C, chronic",NBS166,CASE,054,"Hepatitis C, chronic",YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
054,"Hepatitis C, chronic",NBS150,CASE,054,"Hepatitis C, chronic",YES,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52,STD*MIS v.5.2
CA,CA,DEM162,PATIENT,06,California,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
CA,CA,ORD113,ORGANIZATION,06,California,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
CA,CA,NPP021,PROVIDER,06,California,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
CA,CA,PLA230,PLACE,06,California,Yes,2.16.840.1.113883.6.93,FIPS 6-4 (County),STDMIS52,STD*MIS v.5.2
0610000001,ROUTINE,NBS271,CASE,0610000001,ROUTINE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610000002,PRENATAL,NBS271,CASE,0610000002,PRENATAL,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610000003,NEONATAL,NBS271,CASE,0610000003,NEONATAL,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610000004,LEGAL ISSUE,NBS271,CASE,0610000004,LEGAL ISSUE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610000005,FIELD RECORD,NBS271,CASE,0610000005,FIELD RECORD,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610000182,ABRASIONS,INV272,CASE,0610000182,ABRASIONS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000189,CERVICITIS,INV272,CASE,0610000189,CERVICITIS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000191,CONDYLOMA. ACUMINATA,INV272,CASE,0610000191,CONDYLOMA. ACUMINATA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000198,MUCOPUS,INV272,CASE,0610000198,MUCOPUS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000200,NORMAL,INV272,CASE,0610000200,NORMAL,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000201,PALMAR/PLANTAR RASH,INV272,CASE,0610000201,PALMAR/PLANTAR RASH,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000202,PID,INV272,CASE,0610000202,PID,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000203,UNKNOWN,INV272,CASE,0610000203,UNKNOWN,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
