FROM_CODE,FROM_DISPLAY_NM,TO_UNIQUE_ID,TO_SUBJECT_AREA,TO_CODE,TO_DISPLAY_NM,CODE_TRANSLATION_REQUIRED,NBS_CODE_SYSTEM_CD,NBS_CODE_SYSTEM_DESC_TXT,FROM_CODE_SYSTEM_CD,FROM_CODE_SYSTEM_DESC_TXT
0610000204,URETHRITIS,INV272,CASE,0610000204,URETHRITIS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000205,VESICLES,INV272,CASE,0610000205,VESICLES,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000230,ODOR,INV272,CASE,0610000230,ODOR,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000234,PALMAR/PLANTAR,INV272,CASE,0610000234,PALMAR/PLANTAR,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000239,URINE FREQ.,INV272,CASE,0610000239,URINE FREQ.,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000241,WARTS,INV272,CASE,0610000241,WARTS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000322,NONE,IXS110,INTERVIEW,0610000322,NONE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610000333,ONE NIGHT STAND,CON103,CONTACT_RECORD,0610000333,ONE NIGHT STAND,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000337,TEAMMATE,CON103,CONTACT_RECORD,0610000337,TEAMMATE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE-NE,STD*MIS v.5.2 - REF
0610000338,NONE,NBS138,CASE,0610000338,NONE,Yes,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610000339,OTHER,NBS271,CASE,0610000339,OTHER,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610000340,UNKNOWN FROM 4.1,NBS271,CASE,0610000340,UNKNOWN FROM 4.1,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610001318,NAP LINKAGE TO CARE,IXS110,INTERVIEW,0610001318,NAP LINKAGE TO CARE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610001319,REFERRED TO MEDICAL CARE,IXS110,INTERVIEW,0610001319,REFERRED TO MEDICAL CARE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610001320,900+ & IN CARE,IXS110,INTERVIEW,0610001320,900+ & IN CARE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089987,AFRICA,NBS111,CASE,0610089987,AFRICA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089987,AFRICA,NBS179,CASE,0610089987,AFRICA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089988,ALABAMA,NBS111,CASE,0610089988,ALABAMA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089988,ALABAMA,NBS179,CASE,0610089988,ALABAMA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089989,ALASKA,NBS111,CASE,0610089989,ALASKA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089989,ALASKA,NBS179,CASE,0610089989,ALASKA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089990,ARGENTINA,NBS111,CASE,0610089990,ARGENTINA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089990,ARGENTINA,NBS179,CASE,0610089990,ARGENTINA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089991,ARIZONA,NBS111,CASE,0610089991,ARIZONA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089991,ARIZONA,NBS179,CASE,0610089991,ARIZONA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089992,ARKANSAS,NBS111,CASE,0610089992,ARKANSAS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089992,ARKANSAS,NBS179,CASE,0610089992,ARKANSAS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089993,AUSTRALIA,NBS111,CASE,0610089993,AUSTRALIA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089993,AUSTRALIA,NBS179,CASE,0610089993,AUSTRALIA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089994,BAHAMAS,NBS111,CASE,0610089994,BAHAMAS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089994,BAHAMAS,NBS179,CASE,0610089994,BAHAMAS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089995,BALTIMORE,NBS111,CASE,0610089995,BALTIMORE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089995,BALTIMORE,NBS179,CASE,0610089995,BALTIMORE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089996,BARABDOS,NBS111,CASE,0610089996,BARABDOS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089996,BARABDOS,NBS179,CASE,0610089996,BARABDOS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089997,BERMUDA,NBS111,CASE,0610089997,BERMUDA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089997,BERMUDA,NBS179,CASE,0610089997,BERMUDA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089998,BOLIVIA,NBS111,CASE,0610089998,BOLIVIA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089998,BOLIVIA,NBS179,CASE,0610089998,BOLIVIA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089999,BRAZIL,NBS111,CASE,0610089999,BRAZIL,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610089999,BRAZIL,NBS179,CASE,0610089999,BRAZIL,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090000,CALIF. (EX. LA & SF),NBS111,CASE,0610090000,CALIF. (EX. LA & SF),No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090000,CALIF. (EX. LA & SF),NBS179,CASE,0610090000,CALIF. (EX. LA & SF),No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090001,CANADA,NBS111,CASE,0610090001,CANADA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090001,CANADA,NBS179,CASE,0610090001,CANADA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090002,CDHC-HEALTHY START,NBS111,CASE,0610090002,CDHC-HEALTHY START,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090002,CDHC-HEALTHY START,NBS179,CASE,0610090002,CDHC-HEALTHY START,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090003,CHAS DREW - GRANT,NBS111,CASE,0610090003,CHAS DREW - GRANT,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090003,CHAS DREW - GRANT,NBS179,CASE,0610090003,CHAS DREW - GRANT,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090004,CHICAGO,NBS111,CASE,0610090004,CHICAGO,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090004,CHICAGO,NBS179,CASE,0610090004,CHICAGO,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090005,CHILE,NBS111,CASE,0610090005,CHILE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090005,CHILE,NBS179,CASE,0610090005,CHILE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090006,COLORADO,NBS111,CASE,0610090006,COLORADO,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090006,COLORADO,NBS179,CASE,0610090006,COLORADO,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090007,COLUMBIA,NBS111,CASE,0610090007,COLUMBIA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090007,COLUMBIA,NBS179,CASE,0610090007,COLUMBIA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090008,CONNECTICUT,NBS111,CASE,0610090008,CONNECTICUT,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090008,CONNECTICUT,NBS179,CASE,0610090008,CONNECTICUT,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090009,COSTA RICA,NBS111,CASE,0610090009,COSTA RICA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090009,COSTA RICA,NBS179,CASE,0610090009,COSTA RICA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090010,CUBA,NBS111,CASE,0610090010,CUBA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090010,CUBA,NBS179,CASE,0610090010,CUBA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090011,DELAWARE,NBS111,CASE,0610090011,DELAWARE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090011,DELAWARE,NBS179,CASE,0610090011,DELAWARE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090012,DOMINICAN REPUBLIC,NBS111,CASE,0610090012,DOMINICAN REPUBLIC,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090012,DOMINICAN REPUBLIC,NBS179,CASE,0610090012,DOMINICAN REPUBLIC,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090013,ECUADOR,NBS111,CASE,0610090013,ECUADOR,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090013,ECUADOR,NBS179,CASE,0610090013,ECUADOR,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090014,EL SALVADOR,NBS111,CASE,0610090014,EL SALVADOR,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090014,EL SALVADOR,NBS179,CASE,0610090014,EL SALVADOR,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090015,ETHOPIA,NBS111,CASE,0610090015,ETHOPIA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090015,ETHOPIA,NBS179,CASE,0610090015,ETHOPIA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090016,FLORIDA,NBS111,CASE,0610090016,FLORIDA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090016,FLORIDA,NBS179,CASE,0610090016,FLORIDA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090017,FRANCE,NBS111,CASE,0610090017,FRANCE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090017,FRANCE,NBS179,CASE,0610090017,FRANCE,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090018,GEORGIA,NBS111,CASE,0610090018,GEORGIA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090018,GEORGIA,NBS179,CASE,0610090018,GEORGIA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090019,GERMANY,NBS111,CASE,0610090019,GERMANY,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090019,GERMANY,NBS179,CASE,0610090019,GERMANY,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090020,GUAM,NBS111,CASE,0610090020,GUAM,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090020,GUAM,NBS179,CASE,0610090020,GUAM,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090021,GUATEMALA,NBS111,CASE,0610090021,GUATEMALA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090021,GUATEMALA,NBS179,CASE,0610090021,GUATEMALA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090022,GUYANA,NBS111,CASE,0610090022,GUYANA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090022,GUYANA,NBS179,CASE,0610090022,GUYANA,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090023,HAITI,NBS111,CASE,0610090023,HAITI,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090023,HAITI,NBS179,CASE,0610090023,HAITI,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090024,HAWAII,NBS111,CASE,0610090024,HAWAII,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090024,HAWAII,NBS179,CASE,0610090024,HAWAII,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090025,HONDURAS,NBS111,CASE,0610090025,HONDURAS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090025,HONDURAS,NBS179,CASE,0610090025,HONDURAS,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090026,HONG KONG,NBS111,CASE,0610090026,HONG KONG,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090026,HONG KONG,NBS179,CASE,0610090026,HONG KONG,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090027,IDAHO,NBS111,CASE,0610090027,IDAHO,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090027,IDAHO,NBS179,CASE,0610090027,IDAHO,No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090028,ILLINOIS (EX. CHI.),NBS111,CASE,0610090028,ILLINOIS (EX. CHI.),No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
0610090028,ILLINOIS (EX. CHI.),NBS179,CASE,0610090028,ILLINOIS (EX. CHI.),No,2.16.840.1.114222.4.5.1,NEDSS Base System,STDMIS52-NE,STD*MIS v.5.2 - REF
